city_clean,state_clean,population,city_tier
mirzapur,uttar pradesh,205053.0,Tier 3
raichur,karnataka,207421.0,Tier 3
pali,rajasthan,187641.0,Tier 3
ramagundam,telangana,236600.0,Tier 3
silchar,assam,184105.0,Tier 3
haridwar,uttarakhand,175010.0,Tier 3
vijayanagaram,andhra pradesh,174324.0,Tier 3
tenali,andhra pradesh,184937.0,Tier 3
nagercoil,tamil nadu,208179.0,Tier 3
sri ganganagar,rajasthan,210713.0,Tier 3
karawal nagar,delhi,148549.0,Tier 3
mango,jharkhand,166125.0,Tier 3
thanjavur,tamil nadu,215314.0,Tier 3
bulandshahr,uttar pradesh,176425.0,Tier 3
uluberia,west bengal,202135.0,Tier 3
katni,madhya pradesh,187029.0,Tier 3
sambhal,uttar pradesh,182478.0,Tier 3
singrauli,madhya pradesh,185190.0,Tier 3
nadiad,gujarat,192913.0,Tier 3
secunderabad,telangana,206102.0,Tier 3
naihati,west bengal,215303.0,Tier 3
yamunanagar,haryana,189696.0,Tier 3
bidhannagar,west bengal,164221.0,Tier 3
pallavaram,tamil nadu,144623.0,Tier 3
bidar,karnataka,172877.0,Tier 3
munger,bihar,188050.0,Tier 3
panchkula,haryana,140925.0,Tier 3
burhanpur,madhya pradesh,193725.0,Tier 3
kharagpur,west bengal,188761.0,Tier 3
dindigul,tamil nadu,196955.0,Tier 3
gandhinagar,gujarat,195985.0,Tier 3
hospet,karnataka,164240.0,Tier 3
nangloi jat,delhi,150948.0,Tier 3
malda,west bengal,161456.0,Tier 3
ongole,andhra pradesh,150471.0,Tier 3
deoghar,jharkhand,112525.0,Tier 3
chhapra,bihar,79190.0,Tier 3
puri,odisha,152682.0,Tier 3
haldia,west bengal,170673.0,Tier 3
khandwa,madhya pradesh,172242.0,Tier 3
nandyal,andhra pradesh,152676.0,Tier 3
morena,madhya pradesh,150959.0,Tier 3
amroha,uttar pradesh,165129.0,Tier 3
anand,gujarat,130685.0,Tier 3
bhind,madhya pradesh,153752.0,Tier 3
bhalswa jahangir pur,delhi,152339.0,Tier 3
madhyamgram,west bengal,155451.0,Tier 3
bhiwani,haryana,169531.0,Tier 3
berhampore,west bengal,160143.0,Tier 3
ambala,haryana,139279.0,Tier 3
morbi,gujarat,145719.0,Tier 3
fatehpur,uttar pradesh,151757.0,Tier 3
raebareli,uttar pradesh,169333.0,Tier 3
chittoor,andhra pradesh,152654.0,Tier 3
bhusawal,maharashtra,172372.0,Tier 3
orai,uttar pradesh,139318.0,Tier 3
bahraich,uttar pradesh,168323.0,Tier 3
phusro,jharkhand,83463.0,Tier 3
vellore,tamil nadu,177230.0,Tier 3
mehsana,gujarat,141453.0,Tier 3
raiganj,west bengal,165212.0,Tier 3
sirsa,haryana,160735.0,Tier 3
danapur,bihar,131176.0,Tier 3
serampore,west bengal,197857.0,Tier 3
sultan pur majra,delhi,164426.0,Tier 3
guna,madhya pradesh,137175.0,Tier 3
jaunpur,uttar pradesh,160055.0,Tier 3
panvel,maharashtra,104058.0,Tier 3
shivpuri,madhya pradesh,146892.0,Tier 3
surendranagar dudhrej,gujarat,156161.0,Tier 3
unnao,uttar pradesh,144662.0,Tier 3
chinsurah,west bengal,170201.0,Tier 3
alappuzha,kerala,177029.0,Tier 3
kottayam,kerala,129894.0,Tier 3
machilipatnam,andhra pradesh,179353.0,Tier 3
shimla,himachal pradesh,142555.0,Tier 3
midnapore,west bengal,149768.0,Tier 3
katihar,bihar,115169.0,Tier 3
proddatur,andhra pradesh,86896.0,Tier 3
budaun,uttar pradesh,148029.0,Tier 3
saharsa,bihar,125167.0,Tier 3
dibrugarh,assam,137661.0,Tier 3
jorhat,assam,112026.0,Tier 3
hazaribagh,jharkhand,127243.0,Tier 3
nagaon,assam,123265.0,Tier 3
hajipur,bihar,119412.0,Tier 3
sasaram,bihar,131172.0,Tier 3
kumbakonam,tamil nadu,144021.0,Tier 3
bongaigaon,assam,101213.0,Tier 3
dehri,bihar,119057.0,Tier 3
siwan,bihar,109919.0,Tier 3
bettiah,bihar,116670.0,Tier 3
ramgarh,jharkhand,73455.0,Tier 3
tinsukia,assam,101957.0,Tier 3
motihari,bihar,100683.0,Tier 3
hosur,tamil nadu,102000.0,Tier 3
suryapet,telangana,94585.0,Tier 3
miryalaguda,telangana,91395.0,Tier 3
karaikudi,tamil nadu,86596.0,Tier 3
kishanganj,bihar,85590.0,Tier 3
jamalpur,bihar,96983.0,Tier 3
buxar,bihar,83168.0,Tier 3
tezpur,assam,83028.0,Tier 3
jehanabad,bihar,81503.0,Tier 3
gangtok,sikkim,29354.0,Tier 3
